county,county_code,state,pop_total,pct_aian,pct_asian,pct_black,pct_nonwhite,pct_white,pm_24hr
Arlington County,51013,Virginia,207627,0.00467665573359919,0.0959942589354949,0.0849215179143368,0.282511426741223,0.717488573258777,18
Charles City County,51036,Virginia,7256,0.0705622932745314,0.00344542447629548,0.484151047409041,0.590683572216097,0.409316427783903,12
Chesterfield County,51041,Virginia,316236,0.00382625634020162,0.0325516386496161,0.219494301724029,0.317111271329007,0.682888728670993,11
Fairfax County,51059,Virginia,1081726,0.00359055805259373,0.175331830796338,0.0917219332807014,0.3732331477657,0.6267668522343,16
Frederick County,51069,Virginia,78305,0.00298831492241875,0.0123746887171956,0.0405465806781176,0.106902496647724,0.893097503352276,16
Henrico County,51087,Virginia,306935,0.00329711502435369,0.0653297929529053,0.295401306465538,0.407956081906593,0.592043918093407,15
Roanoke County,51161,Virginia,92376,0.00148306919546203,0.0266952455183164,0.0502619728067896,0.0999826794838486,0.900017320516151,15
Rockingham County,51165,Virginia,76314,0.00273868490709437,0.00602772754671489,0.0166810807977566,0.06724847341248,0.93275152658752,14
Bristol City,51520,Virginia,17835,0.00291561536305018,0.00684048219792543,0.056574151948416,0.0908887019904682,0.909111298009532,14
Hampton City,51650,Virginia,137436,0.00432201169999127,0.0217701330073634,0.495532466020548,0.573314124392445,0.426685875607556,13
Lynchburg City,51680,Virginia,75568,0.00313624814736396,0.0247194579716282,0.292981156044887,0.355891382595808,0.644108617404192,12
Salem City,51775,Virginia,24802,0.00249979840335457,0.0162083702927183,0.0710829771792597,0.118135634223047,0.881864365776954,14
Clark County,53011,Washington,425363,0.0085197819274361,0.0411507347841726,0.0198089631679295,0.145677926853064,0.854322073146936,147
King County,53033,Washington,1931249,0.00836091047814135,0.146058328056092,0.0620329123795016,0.313477961671437,0.686522038328564,61
Kitsap County,53035,Washington,251133,0.0160870932931952,0.0493602991243684,0.026479992673205,0.174266225466187,0.825733774533813,41
Kittitas County,53037,Washington,40915,0.00962972015153367,0.0197971404130514,0.00889649272882806,0.106831235488207,0.893168764511793,50
Okanogan County,53047,Washington,41120,0.113691634241245,0.0057636186770428,0.00386673151750973,0.260724708171206,0.739275291828794,83
Pierce County,53053,Washington,795225,0.0136804049168474,0.0597327800308089,0.0679027948065013,0.258021314722248,0.741978685277752,41
Snohomish County,53061,Washington,713335,0.0137284725970266,0.0888572690250724,0.0254690993712632,0.216341550603854,0.783658449396146,51
Spokane County,53063,Washington,471221,0.0154810587813361,0.0211302127876304,0.0170960122744954,0.108114876034812,0.891885123965188,31
Stevens County,53065,Washington,43531,0.0554317612735752,0.00544439594771542,0.00333095954607062,0.105855597160644,0.894144402839356,66
Whatcom County,53073,Washington,201140,0.0282539524709158,0.0352490802426171,0.00959033508998707,0.145789002684697,0.854210997315303,42
Yakima County,53077,Washington,243231,0.0434484091254815,0.0105249742014793,0.00953825787009057,0.362515468834154,0.637484531165847,105
Berkeley County,54003,West Virginia,104169,0.0027455384999376,0.00842861119910914,0.0713456018585184,0.121619675719264,0.878380324280736,23
Brooke County,54009,West Virginia,24069,0.000872491586688271,0.00394698574930408,0.0116747683742573,0.02954007229216,0.97045992770784,18
